test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp	fold	gen	model	subset
0.49917	0.002	0.55935	0.59623	0.55989	0.55142	-9.11828	1743	1434	37	46	0	m	lrc	top5
0.499	0.002	0.58847	0.58406	0.5884	0.59378	-8.98607	1859	1318	33	50	0	m	lrc	top5
0.49967	0.002	0.57167	0.57078	0.57152	0.58079	-8.95958	2121	1056	42	41	0	m	lrc	top5
0.49999	0.002	0.56394	0.56035	0.56394	0.57204	-8.92515	1874	1303	37	46	0	m	lrc	top5
0.50029	0.002	0.58657	0.59659	0.58657	0.56387	-9.17135	1669	1508	33	50	0	m	lrc	top5
0.49941	0.002	0.55337	0.58397	0.55326	0.52633	-8.97004	2196	981	53	30	0	m	lrc	top5
0.5007	0.0479	0.52875	0.55601	0.52875	0.51926	-8.98775	1730	1447	42	41	0	m	lrc	top5
0.501	0.002	0.58999	0.58977	0.59094	0.5585	-8.93714	1884	1292	40	44	2	combine	lrc	top5
0.50006	0.002	0.5535	0.6148	0.55345	0.52894	-9.20957	1734	1442	41	43	2	combine	lrc	top5
0.49971	0.002	0.58555	0.56312	0.58536	0.55488	-8.90196	1861	1315	40	44	2	combine	lrc	top5
0.49942	0.002	0.61399	0.58531	0.61379	0.58033	-8.94528	1947	1229	38	46	2	combine	lrc	top5
0.49984	0.002	0.62486	0.56953	0.6249	0.6042	-8.88865	1834	1342	31	53	2	combine	lrc	top5
0.49896	0.002	0.59382	0.57722	0.59394	0.55614	-8.91763	1869	1307	40	44	2	combine	lrc	top5
0.50086	0.002	0.57067	0.59593	0.57072	0.56003	-9.19527	1629	1547	33	51	2	combine	lrc	top5
0.50143	0.002	0.59115	0.57907	0.59041	0.54897	-9.03635	1710	1466	37	47	2	combine	lrc	top5
0.49913	0.002	0.56498	0.61391	0.56509	0.54805	-9.0642	1931	1245	43	41	2	combine	lrc	top5
0.49845	0.002	0.61586	0.59725	0.61544	0.57929	-8.94445	1827	1349	35	49	2	combine	lrc	top5
0.49979	0.002	0.5878	0.61453	0.58803	0.56339	-9.15059	1726	1450	35	49	2	combine	lrc	top5
0.50163	0.002	0.5929	0.61706	0.59303	0.5558	-9.159	1829	1347	39	45	2	combine	lrc	top5
0.50011	0.002	0.55537	0.57333	0.55519	0.5336	-8.9848	1688	1488	39	45	2	combine	lrc	top5
0.50031	0.002	0.58834	0.59448	0.58812	0.55763	-8.97667	1765	1411	37	47	2	combine	lrc	top5
0.50124	0.002	0.59282	0.59583	0.59228	0.54769	-8.89197	2080	1096	47	37	2	combine	lrc	top5
0.5	0.002	0.5806	0.58699	0.58088	0.56452	-8.93132	1771	1405	36	48	2	combine	lrc	top5
